Gene,log2FoldChange,p_value,padj
ENSSSCG00000013261,0.03717860110921898,0.06791699395199324,0.06791699395199324
ENSSSCG00000013262,0.004749977661802188,0.6436079379346253,0.6436079379346253
ENSSSCG00000013263,-0.014236269868890502,0.5400753584515583,0.5400753584515583
ENSSSCG00000013266,-0.24349725084195725,0.712370411598754,0.712370411598754
ENSSSCG00000013267,0.002489602169582494,0.8777557925224913,0.8777557925224913
ENSSSCG00000013269,-0.012894568522675117,0.011145998367098326,0.011145998367098326
ENSSSCG00000013270,0.013766565752154094,0.24085448233490558,0.24085448233490558
ENSSSCG00000013273,-0.0009404094123183167,0.9318375707489881,0.9318375707489881
ENSSSCG00000013276,0.035264019172009366,0.16400047886980154,0.16400047886980154
ENSSSCG00000013278,0.014675121519563312,0.5711656035353099,0.5711656035353099
ENSSSCG00000013281,-0.012246298154501503,0.33383617308033464,0.33383617308033464
ENSSSCG00000013282,-0.006389713588476791,0.7531270133854892,0.7531270133854892
ENSSSCG00000013283,-0.014199189635711967,0.5126573921807519,0.5126573921807519
ENSSSCG00000013284,0.025102087905143903,0.019236910021051216,0.019236910021051216
ENSSSCG00000013285,0.0133279172452554,0.16068046887606338,0.16068046887606338
ENSSSCG00000013286,0.04008687389052159,0.0018172688110290188,0.0018172688110290188
ENSSSCG00000013292,-0.016247262865841456,0.6194700814100726,0.6194700814100726
ENSSSCG00000013293,-0.0004639115535056079,0.9819670848839426,0.9819670848839426
ENSSSCG00000013294,-0.022894999476202604,0.2901612874638655,0.2901612874638655
ENSSSCG00000013295,0.0019408419621496642,0.8377733591737626,0.8377733591737626
ENSSSCG00000013296,-0.02133239983308344,0.2497612095590373,0.2497612095590373
ENSSSCG00000013297,-0.010609177794440197,0.6997798843873656,0.6997798843873656
ENSSSCG00000013298,0.0029355813334897324,0.8525315929765694,0.8525315929765694
ENSSSCG00000013299,0.035448995815614184,0.01612546227161413,0.01612546227161413
ENSSSCG00000013300,1.8494643635384476,0.0687862812936166,0.0687862812936166
ENSSSCG00000013301,-0.0002679234978560815,0.9925049203665821,0.9925049203665821
ENSSSCG00000013302,0.007543975989383429,0.7011093763437357,0.7011093763437357
ENSSSCG00000013303,-0.049125462432343475,0.010597698768076149,0.010597698768076149
ENSSSCG00000013304,0.00016879480501797743,0.9880578219622809,0.9880578219622809
ENSSSCG00000013305,0.007313338979911099,0.524885814121494,0.524885814121494
ENSSSCG00000013307,-0.016229199468251135,0.43840440198498964,0.43840440198498964
ENSSSCG00000013308,0.031617171221504134,0.030165377550475596,0.030165377550475596
ENSSSCG00000013310,-0.30016756090823227,0.6378411633099014,0.6378411633099014
ENSSSCG00000013311,0.022806777548089945,0.01174601336881508,0.01174601336881508
ENSSSCG00000013312,0.03745671851463208,0.001439163323861682,0.001439163323861682
ENSSSCG00000013313,0.04255133091948563,0.05204681536727625,0.05204681536727625
ENSSSCG00000013314,0.02342404952364435,0.15908789423294767,0.15908789423294767
ENSSSCG00000013315,-0.0020124523462869645,0.8883874692615423,0.8883874692615423
ENSSSCG00000013316,-0.3492302022578159,0.16981381471282653,0.16981381471282653
ENSSSCG00000013318,0.017090216161208902,0.4194149831308889,0.4194149831308889
