Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold
ENSSSCG00000019505	0.6760004732091601	-0.09903213170578641	0.6203747402990943	-0.15963275948024763	0.8731703715535177	NA	NA
ENSSSCG00000001362	505.7410756465048	-0.09908355531307818	0.062214947019385146	-1.5926004932899065	0.11124984281275958	0.3254078793328369	FALSE
ENSSSCG00000014112	415.61285514546887	-0.09912052738518011	0.034597551048350994	-2.8649579054499132	0.004170646790801514	0.0501793303303177	FALSE
ENSSSCG00000035177	27.50810476491771	-0.0991288959056967	0.12229059200887549	-0.8106011613591847	0.4175947497184237	0.6676578219737973	FALSE
ENSSSCG00000012489	33.970577321052076	-0.09916329150480901	0.09739817767658875	-1.0181226576341227	0.30861966895204807	0.5730427006632928	FALSE
ENSSSCG00000011973	157.66420693659802	-0.09921001833960413	0.12423805580246015	-0.7985477372355949	0.42455270235373777	0.6734701881217103	FALSE
ENSSSCG00000024486	59.246908883832774	-0.09923840144998076	0.0904680931902416	-1.0969436621295472	0.27266602054378347	0.5371356658573508	FALSE
ENSSSCG00000021259	11.30016431822481	-0.09924233782644579	0.18770329516173462	-0.5287192094360069	0.5970002495092808	0.7938248829932767	FALSE
ENSSSCG00000026422	59.819314001157565	-0.09927636859112579	0.106592197709115	-0.9313661855630957	0.3516641761566664	0.611997504449156	FALSE
ENSSSCG00000021343	2812.3257835939953	-0.09935786532391638	0.04471927678660096	-2.2218128839169093	0.026295953658886668	0.14360833833760536	FALSE
ENSSSCG00000010974	461.4256469116649	-0.09940896069346374	0.04632847349934542	-2.145742200957005	0.03189355227399374	0.15881570086101332	FALSE
ENSSSCG00000040513	30.96819190103196	-0.09941729158664961	0.14624284944641774	-0.6798095904379609	0.49662503334581726	0.7296715559614072	FALSE
ENSSSCG00000002438	2.7020510558684943	-0.09943856222847827	0.3675438136131791	-0.27054886668051015	0.7867380278755082	NA	NA
ENSSSCG00000006871	80.4254480198274	-0.09946836186149398	0.09310886406557177	-1.0683017439826519	0.28538442206918807	0.5508626266647535	FALSE
ENSSSCG00000029590	82.76461463846066	-0.09952521804150154	0.07258565826807425	-1.3711416334330642	0.1703308086679945	0.4141762630809423	FALSE
ENSSSCG00000006310	32.32530512824135	-0.09954730422000392	0.12064114093342158	-0.8251522113417449	0.409285180702415	0.6611405199004832	FALSE
ENSSSCG00000005689	402.4139937291873	-0.09957348397730614	0.07300546255644572	-1.363918267079245	0.17259329092617742	0.41754506254494667	FALSE
ENSSSCG00000025606	708.5860704971933	-0.0995851175941929	0.04389846787368423	-2.2685328763806605	0.023296747543700973	0.13382175364238325	FALSE
ENSSSCG00000024179	1.4123267562694128	-0.09958696896699164	0.5037901949840218	-0.19767548070313307	0.8432989747168406	NA	NA
ENSSSCG00000006126	363.19041908667276	-0.09959935264727317	0.04530744263674095	-2.1983000330834286	0.02792773205728864	0.14855875634791202	FALSE
ENSSSCG00000040798	0.3992705997396267	-0.09962717817011106	0.757389107414144	-0.13154028384466115	0.895347921505836	NA	NA
ENSSSCG00000036766	250.44890008699065	-0.09963205028275766	0.05505383694294459	-1.8097203721879003	0.07033916164525325	0.2526534600269579	FALSE
ENSSSCG00000035503	1.8518631944157453	-0.09967777046469203	0.39051396166360197	-0.25524764861174626	0.7985318312638487	NA	NA
ENSSSCG00000000209	380.940030383729	-0.09968046212004265	0.055525816296295924	-1.795209305670167	0.07262035839817575	0.2576160008390662	FALSE
ENSSSCG00000004384	328.6149419660265	-0.09968431219868538	0.06400080439291975	-1.5575478018478346	0.11934048062243019	0.33754431901989446	FALSE
ENSSSCG00000036113	37.84054567872833	-0.09968741040610721	0.09214295105167616	-1.081877770011945	0.2793068438564883	0.5441686405972801	FALSE
ENSSSCG00000012359	61.71666035253099	-0.099743210816523	0.12678383428617299	-0.7867186804856001	0.431446566206443	0.6797522769531504	FALSE
ENSSSCG00000037531	268.39445675218593	-0.09976148005467893	0.0698925271356133	-1.4273554576315512	0.1534774628931251	0.3880886121311549	FALSE
ENSSSCG00000021744	55.185222862331635	-0.0997969443786066	0.08201765735224245	-1.2167738947969116	0.22369025498248588	0.4813144980800129	FALSE
ENSSSCG00000014855	4023.8785146496025	-0.09984666154648783	0.05184218448055783	-1.9259732695857548	0.05410771160018882	0.21712220799328624	FALSE
ENSSSCG00000040340	2.0540510058281765	-0.09988367448144772	0.49325089418000156	-0.20250074690183384	0.8395252745625981	NA	NA
ENSSSCG00000003266	2.9547770387205525	-0.09990529014173798	0.274110397700151	-0.3644709977438515	0.7155063270869289	NA	NA
ENSSSCG00000036154	429.9363416860165	-0.09991803368590738	0.043316791501496685	-2.306681317392933	0.02107259252040821	0.12633544779456135	FALSE
ENSSSCG00000038844	57.208527860042516	-0.09992404831808348	0.11939592556674923	-0.8369133858108093	0.4026412556224595	0.6550231613447672	FALSE
