Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSSSCG00000031640	1310.0002384171441	0.4282555012659478	0.10036308578534968	9.145231094735642e-7	2.7314090248025275e-4	TRUE
ENSSSCG00000001396	179.98929646574553	0.4277856332718124	0.15172725570900333	1.7206746216375595e-4	0.007303244325904948	TRUE
ENSSSCG00000033909	186.31356647534716	0.42760215695364856	0.1313546630274163	4.454494704951269e-5	0.0034691576678886173	TRUE
ENSSSCG00000034555	55.921820996033496	0.4260467574920337	0.17074666504048402	4.056412031508255e-4	0.012020289715242822	TRUE
ENSSSCG00000025023	73.16833684280199	0.4209114837637473	0.10239244601770793	1.778696852587059e-6	4.042585689383131e-4	TRUE
ENSSSCG00000000130	92.1645776752358	0.41762778418717306	0.11890596973200303	1.8293261491087002e-5	0.001966787729058501	TRUE
ENSSSCG00000022692	16.36024033269993	0.4130693157800502	0.20738336283909636	0.0013269820912931755	0.024672760158210856	TRUE
ENSSSCG00000026886	7.721204613434237	0.412344679303976	0.28639367011503103	0.0030211417448233937	0.04093837011208973	TRUE
ENSSSCG00000009827	58.65314653204859	0.41175107695932284	0.11650597912799263	1.7190718342843952e-5	0.001921272563738382	TRUE
ENSSSCG00000033918	35.46880543765915	0.4066823603009526	0.12014523692168673	2.8252625412382455e-5	0.002521463722098039	TRUE
ENSSSCG00000022129	101.80580864819038	0.4063133954607842	0.10579106263641877	5.40767285063513e-6	8.636338156824862e-4	TRUE
ENSSSCG00000013551	592.0756630223176	0.40622736076916177	0.09723941973340748	1.3405486937456372e-6	3.2412483850955353e-4	TRUE
ENSSSCG00000016573	62.894724383297756	0.40515573280723804	0.112647039057224	1.3242283884572464e-5	0.0015819837094230977	TRUE
ENSSSCG00000027565	122.50362624590072	0.4031657542154361	0.0950319297770498	9.95074552826815e-7	2.753738339897507e-4	TRUE
ENSSSCG00000034087	21.62372066789039	0.401033039676268	0.2117988793053474	0.0015430984610501127	0.026817743242900698	TRUE
ENSSSCG00000013106	54.952642277568806	0.398314232906637	0.11403856141373624	1.9474619910029403e-5	0.0019972492639878394	TRUE
ENSSSCG00000001427	705.9834709355578	0.3936399247589318	0.19423042202693205	0.0012563242419766035	0.024070143469125876	TRUE
ENSSSCG00000012101	57.098046970505614	0.3889954142107609	0.15606564047609653	4.4397190052546055e-4	0.012577302763025947	TRUE
ENSSSCG00000009144	139.73747702671477	0.38785429267385635	0.1103904898128271	1.8943409440375103e-5	0.0019972492639878394	TRUE
ENSSSCG00000035218	70.29313683576456	0.387322215174236	0.14567379206501635	2.812528112771111e-4	0.009764685704110593	TRUE
ENSSSCG00000011559	53.571428810932275	0.3854858310889765	0.08409646610511165	2.1314647609076286e-7	8.475939894830995e-5	TRUE
ENSSSCG00000001978	32.216759902197786	0.3812110018717969	0.15320290558077976	4.342837183429326e-4	0.01237411092576298	TRUE
ENSSSCG00000040465	9.535167221633046	0.3790642575347349	0.2285471765267946	0.002419526222766731	0.03559802171432247	TRUE
ENSSSCG00000027196	96.21088624225469	0.3774927809535092	0.14647221009591246	3.4830076359020697e-4	0.011037526249019236	TRUE
ENSSSCG00000006800	138.27485735830464	0.37724260618241584	0.13385238499972035	1.8120306891889946e-4	0.0075161802209854295	TRUE
ENSSSCG00000037614	103.5966322644877	0.37614693184539116	0.15506081903044205	5.267394815265399e-4	0.0137078754952327	TRUE
ENSSSCG00000028711	26.793437291064695	0.37261924133822216	0.18173622286711077	0.0011430895555801367	0.0229101119382587	TRUE
ENSSSCG00000014316	40.750528955900904	0.372436389781543	0.1345180304667404	2.1605581585968075e-4	0.00835531614111797	TRUE
ENSSSCG00000009672	48.466484128207156	0.36900835519353514	0.15101415046050007	5.131518063585943e-4	0.013495664409771874	TRUE
